Loading wordToVec pickle..
Loaded wordToVec pickle..
Loading train pickle..
Loaded train pickle..
train size:  316436
Loading test pickle..
Loaded test pickle..
pair index 99 loss tensor(73.6743, grad_fn=<AddBackward0>)
pair index 199 loss tensor(75.1707, grad_fn=<AddBackward0>)
pair index 299 loss tensor(74.0892, grad_fn=<AddBackward0>)
pair index 399 loss tensor(71.2315, grad_fn=<AddBackward0>)
pair index 499 loss tensor(73.6922, grad_fn=<AddBackward0>)
pair index 599 loss tensor(71.8715, grad_fn=<AddBackward0>)
pair index 699 loss tensor(71.9929, grad_fn=<AddBackward0>)
pair index 799 loss tensor(70.1462, grad_fn=<AddBackward0>)
pair index 899 loss tensor(69.3773, grad_fn=<AddBackward0>)
pair index 999 loss tensor(68.6817, grad_fn=<AddBackward0>)
pair index 1099 loss tensor(69.0872, grad_fn=<AddBackward0>)
pair index 1199 loss tensor(68.4520, grad_fn=<AddBackward0>)
pair index 1299 loss tensor(67.7942, grad_fn=<AddBackward0>)
pair index 1399 loss tensor(68.2531, grad_fn=<AddBackward0>)
pair index 1499 loss tensor(66.6062, grad_fn=<AddBackward0>)
pair index 1599 loss tensor(66.3968, grad_fn=<AddBackward0>)
pair index 1699 loss tensor(66.7356, grad_fn=<AddBackward0>)
pair index 1799 loss tensor(64.7961, grad_fn=<AddBackward0>)
pair index 1899 loss tensor(65.2726, grad_fn=<AddBackward0>)
pair index 1999 loss tensor(67.1373, grad_fn=<AddBackward0>)
pair index 2099 loss tensor(67.7566, grad_fn=<AddBackward0>)
pair index 2199 loss tensor(68.6133, grad_fn=<AddBackward0>)
pair index 2299 loss tensor(64.0279, grad_fn=<AddBackward0>)
pair index 2399 loss tensor(67.1978, grad_fn=<AddBackward0>)
pair index 2499 loss tensor(67.9751, grad_fn=<AddBackward0>)
pair index 2599 loss tensor(66.9363, grad_fn=<AddBackward0>)
pair index 2699 loss tensor(66.8581, grad_fn=<AddBackward0>)
pair index 2799 loss tensor(67.2714, grad_fn=<AddBackward0>)
pair index 2899 loss tensor(66.5925, grad_fn=<AddBackward0>)
pair index 2999 loss tensor(66.6001, grad_fn=<AddBackward0>)
pair index 3099 loss tensor(68.3580, grad_fn=<AddBackward0>)
pair index 3199 loss tensor(68.6154, grad_fn=<AddBackward0>)
pair index 3299 loss tensor(65.0319, grad_fn=<AddBackward0>)
pair index 3399 loss tensor(63.8722, grad_fn=<AddBackward0>)
pair index 3499 loss tensor(64.2215, grad_fn=<AddBackward0>)
pair index 3599 loss tensor(66.8437, grad_fn=<AddBackward0>)
pair index 3699 loss tensor(67.1313, grad_fn=<AddBackward0>)
pair index 3799 loss tensor(68.6754, grad_fn=<AddBackward0>)
pair index 3899 loss tensor(64.9493, grad_fn=<AddBackward0>)
pair index 3999 loss tensor(68.9517, grad_fn=<AddBackward0>)
pair index 4099 loss tensor(66.2171, grad_fn=<AddBackward0>)
pair index 4199 loss tensor(65.6295, grad_fn=<AddBackward0>)
pair index 4299 loss tensor(69.2287, grad_fn=<AddBackward0>)
pair index 4399 loss tensor(68.3252, grad_fn=<AddBackward0>)
pair index 4499 loss tensor(67.4348, grad_fn=<AddBackward0>)
pair index 4599 loss tensor(68.6144, grad_fn=<AddBackward0>)
pair index 4699 loss tensor(68.0231, grad_fn=<AddBackward0>)
pair index 4799 loss tensor(65.3352, grad_fn=<AddBackward0>)
pair index 4899 loss tensor(63.8033, grad_fn=<AddBackward0>)
pair index 4999 loss tensor(68.6500, grad_fn=<AddBackward0>)
pair index 5099 loss tensor(67.7252, grad_fn=<AddBackward0>)
pair index 5199 loss tensor(68.6765, grad_fn=<AddBackward0>)
pair index 5299 loss tensor(66.6377, grad_fn=<AddBackward0>)
pair index 5399 loss tensor(66.4993, grad_fn=<AddBackward0>)
pair index 5499 loss tensor(67.7617, grad_fn=<AddBackward0>)
pair index 5599 loss tensor(65.2677, grad_fn=<AddBackward0>)
pair index 5699 loss tensor(65.3998, grad_fn=<AddBackward0>)
pair index 5799 loss tensor(66.8179, grad_fn=<AddBackward0>)
pair index 5899 loss tensor(65.2731, grad_fn=<AddBackward0>)
pair index 5999 loss tensor(64.6633, grad_fn=<AddBackward0>)
pair index 6099 loss tensor(65.0123, grad_fn=<AddBackward0>)
pair index 6199 loss tensor(65.8921, grad_fn=<AddBackward0>)
pair index 6299 loss tensor(66.8028, grad_fn=<AddBackward0>)
pair index 6399 loss tensor(66.8647, grad_fn=<AddBackward0>)
pair index 6499 loss tensor(65.6348, grad_fn=<AddBackward0>)
pair index 6599 loss tensor(67.1031, grad_fn=<AddBackward0>)
pair index 6699 loss tensor(68.4288, grad_fn=<AddBackward0>)
pair index 6799 loss tensor(65.3366, grad_fn=<AddBackward0>)
pair index 6899 loss tensor(68.6590, grad_fn=<AddBackward0>)
pair index 6999 loss tensor(69.3361, grad_fn=<AddBackward0>)
pair index 7099 loss tensor(66.5086, grad_fn=<AddBackward0>)
pair index 7199 loss tensor(66.4632, grad_fn=<AddBackward0>)
pair index 7299 loss tensor(66.0197, grad_fn=<AddBackward0>)
pair index 7399 loss tensor(67.4275, grad_fn=<AddBackward0>)
pair index 7499 loss tensor(66.1852, grad_fn=<AddBackward0>)
pair index 7599 loss tensor(68.2653, grad_fn=<AddBackward0>)
pair index 7699 loss tensor(66.1861, grad_fn=<AddBackward0>)
pair index 7799 loss tensor(66.4635, grad_fn=<AddBackward0>)
pair index 7899 loss tensor(68.3792, grad_fn=<AddBackward0>)
pair index 7999 loss tensor(66.1790, grad_fn=<AddBackward0>)
pair index 8099 loss tensor(65.5452, grad_fn=<AddBackward0>)
pair index 8199 loss tensor(68.9598, grad_fn=<AddBackward0>)
pair index 8299 loss tensor(67.7937, grad_fn=<AddBackward0>)
pair index 8399 loss tensor(67.0975, grad_fn=<AddBackward0>)
pair index 8499 loss tensor(65.8742, grad_fn=<AddBackward0>)
pair index 8599 loss tensor(67.8771, grad_fn=<AddBackward0>)
pair index 8699 loss tensor(67.4189, grad_fn=<AddBackward0>)
pair index 8799 loss tensor(66.7065, grad_fn=<AddBackward0>)
pair index 8899 loss tensor(65.8525, grad_fn=<AddBackward0>)
pair index 8999 loss tensor(65.5591, grad_fn=<AddBackward0>)
pair index 9099 loss tensor(64.2709, grad_fn=<AddBackward0>)
pair index 9199 loss tensor(69.8915, grad_fn=<AddBackward0>)
pair index 9299 loss tensor(64.0646, grad_fn=<AddBackward0>)
pair index 9399 loss tensor(66.7895, grad_fn=<AddBackward0>)
pair index 9499 loss tensor(65.5838, grad_fn=<AddBackward0>)
pair index 9599 loss tensor(65.2987, grad_fn=<AddBackward0>)
pair index 9699 loss tensor(66.4685, grad_fn=<AddBackward0>)
pair index 9799 loss tensor(68.7242, grad_fn=<AddBackward0>)
pair index 9899 loss tensor(66.4796, grad_fn=<AddBackward0>)
pair index 9999 loss tensor(66.8112, grad_fn=<AddBackward0>)
Saved after time:  189.39785599708557  sec
pair index 10099 loss tensor(66.8511, grad_fn=<AddBackward0>)
pair index 10199 loss tensor(65.3492, grad_fn=<AddBackward0>)
pair index 10299 loss tensor(65.5339, grad_fn=<AddBackward0>)
pair index 10399 loss tensor(64.0103, grad_fn=<AddBackward0>)
pair index 10499 loss tensor(65.5897, grad_fn=<AddBackward0>)
pair index 10599 loss tensor(65.4164, grad_fn=<AddBackward0>)
pair index 10699 loss tensor(63.9567, grad_fn=<AddBackward0>)
pair index 10799 loss tensor(67.0969, grad_fn=<AddBackward0>)
pair index 10899 loss tensor(64.3405, grad_fn=<AddBackward0>)
pair index 10999 loss tensor(68.2428, grad_fn=<AddBackward0>)
pair index 11099 loss tensor(63.1355, grad_fn=<AddBackward0>)
pair index 11199 loss tensor(65.5536, grad_fn=<AddBackward0>)
pair index 11299 loss tensor(67.4159, grad_fn=<AddBackward0>)
pair index 11399 loss tensor(66.8220, grad_fn=<AddBackward0>)
pair index 11499 loss tensor(67.0949, grad_fn=<AddBackward0>)
pair index 11599 loss tensor(64.6167, grad_fn=<AddBackward0>)
pair index 11699 loss tensor(66.7968, grad_fn=<AddBackward0>)
pair index 11799 loss tensor(65.2465, grad_fn=<AddBackward0>)
pair index 11899 loss tensor(65.2379, grad_fn=<AddBackward0>)
pair index 11999 loss tensor(68.9695, grad_fn=<AddBackward0>)
pair index 12099 loss tensor(64.3665, grad_fn=<AddBackward0>)
pair index 12199 loss tensor(63.0604, grad_fn=<AddBackward0>)
pair index 12299 loss tensor(67.0974, grad_fn=<AddBackward0>)
pair index 12399 loss tensor(66.8048, grad_fn=<AddBackward0>)
pair index 12499 loss tensor(67.4008, grad_fn=<AddBackward0>)
pair index 12599 loss tensor(67.1013, grad_fn=<AddBackward0>)
pair index 12699 loss tensor(67.4155, grad_fn=<AddBackward0>)
pair index 12799 loss tensor(64.9041, grad_fn=<AddBackward0>)
pair index 12899 loss tensor(68.0729, grad_fn=<AddBackward0>)
pair index 12999 loss tensor(66.4819, grad_fn=<AddBackward0>)
pair index 13099 loss tensor(68.0295, grad_fn=<AddBackward0>)
pair index 13199 loss tensor(65.2227, grad_fn=<AddBackward0>)
pair index 13299 loss tensor(64.9140, grad_fn=<AddBackward0>)
pair index 13399 loss tensor(63.6829, grad_fn=<AddBackward0>)
pair index 13499 loss tensor(67.7227, grad_fn=<AddBackward0>)
pair index 13599 loss tensor(67.8206, grad_fn=<AddBackward0>)
pair index 13699 loss tensor(68.9749, grad_fn=<AddBackward0>)
pair index 13799 loss tensor(66.9965, grad_fn=<AddBackward0>)
pair index 13899 loss tensor(67.1108, grad_fn=<AddBackward0>)
pair index 13999 loss tensor(65.8577, grad_fn=<AddBackward0>)
pair index 14099 loss tensor(68.3415, grad_fn=<AddBackward0>)
pair index 14199 loss tensor(65.9413, grad_fn=<AddBackward0>)
pair index 14299 loss tensor(64.6029, grad_fn=<AddBackward0>)
pair index 14399 loss tensor(69.5670, grad_fn=<AddBackward0>)
pair index 14499 loss tensor(66.5022, grad_fn=<AddBackward0>)
pair index 14599 loss tensor(66.5202, grad_fn=<AddBackward0>)
pair index 14699 loss tensor(64.9091, grad_fn=<AddBackward0>)
pair index 14799 loss tensor(64.9201, grad_fn=<AddBackward0>)
pair index 14899 loss tensor(65.8314, grad_fn=<AddBackward0>)
pair index 14999 loss tensor(63.7625, grad_fn=<AddBackward0>)
pair index 15099 loss tensor(63.0454, grad_fn=<AddBackward0>)
pair index 15199 loss tensor(66.7802, grad_fn=<AddBackward0>)
pair index 15299 loss tensor(69.9124, grad_fn=<AddBackward0>)
pair index 15399 loss tensor(66.7871, grad_fn=<AddBackward0>)
pair index 15499 loss tensor(64.5984, grad_fn=<AddBackward0>)
pair index 15599 loss tensor(69.2817, grad_fn=<AddBackward0>)
pair index 15699 loss tensor(68.3202, grad_fn=<AddBackward0>)
pair index 15799 loss tensor(68.3441, grad_fn=<AddBackward0>)
pair index 15899 loss tensor(65.5361, grad_fn=<AddBackward0>)
pair index 15999 loss tensor(67.9921, grad_fn=<AddBackward0>)
pair index 16099 loss tensor(68.0686, grad_fn=<AddBackward0>)
pair index 16199 loss tensor(62.4209, grad_fn=<AddBackward0>)
pair index 16299 loss tensor(66.1511, grad_fn=<AddBackward0>)
pair index 16399 loss tensor(66.4679, grad_fn=<AddBackward0>)
pair index 16499 loss tensor(65.9691, grad_fn=<AddBackward0>)
pair index 16599 loss tensor(65.5326, grad_fn=<AddBackward0>)
pair index 16699 loss tensor(65.5193, grad_fn=<AddBackward0>)
pair index 16799 loss tensor(67.0815, grad_fn=<AddBackward0>)
pair index 16899 loss tensor(68.9703, grad_fn=<AddBackward0>)
pair index 16999 loss tensor(67.4111, grad_fn=<AddBackward0>)
pair index 17099 loss tensor(67.4095, grad_fn=<AddBackward0>)
pair index 17199 loss tensor(66.7803, grad_fn=<AddBackward0>)
pair index 17299 loss tensor(68.0411, grad_fn=<AddBackward0>)
pair index 17399 loss tensor(64.5980, grad_fn=<AddBackward0>)
